crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,vehicle_type_code2
2026-02-12T00:00:00.000,13:48,MANHATTAN,10013,40.72199,-74.004295,"{'latitude': '40.72199', 'longitude': '-74.004295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,4878700,Bike,Sedan
2026-02-11T00:00:00.000,4:39,MANHATTAN,10012,40.72528,-73.99382,"{'latitude': '40.72528', 'longitude': '-73.99382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4880115,Sedan,Box Truck
2026-02-10T00:00:00.000,16:20,MANHATTAN,10012,40.725006,-73.999344,"{'latitude': '40.725006', 'longitude': '-73.999344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PRINCE ST,GREENE ST,1,0,1,0,0,0,0,0,Unspecified,,4878224,Station Wagon/Sport Utility Vehicle,
2026-02-08T00:00:00.000,11:46,,,40.72225,-74.00591,"{'latitude': '40.72225', 'longitude': '-74.00591', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CANAL ST,AVENUE OF THE AMERICAS,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4877608,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2026-02-07T00:00:00.000,0:49,MANHATTAN,10012,40.726234,-73.99952,"{'latitude': '40.726234', 'longitude': '-73.99952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Oversized Vehicle,Other Vehicular,4877313,Garbage or Refuse,Station Wagon/Sport Utility Vehicle
2026-02-07T00:00:00.000,10:45,MANHATTAN,10013,40.71843,-74.000534,"{'latitude': '40.71843', 'longitude': '-74.000534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CANAL ST,LAFAYETTE ST,0,0,0,0,0,0,0,0,Unspecified,,4877722,Sedan,
2026-02-07T00:00:00.000,16:00,MANHATTAN,10013,40.718754,-74.010956,"{'latitude': '40.718754', 'longitude': '-74.010956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4878234,Station Wagon/Sport Utility Vehicle,
2026-02-06T00:00:00.000,13:49,MANHATTAN,10012,40.72729,-73.99364,"{'latitude': '40.72729', 'longitude': '-73.99364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GREAT JONES ST,LAFAYETTE ST,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Unspecified,4877173,Sedan,Station Wagon/Sport Utility Vehicle
2026-02-06T00:00:00.000,0:06,MANHATTAN,10013,40.71843,-74.000534,"{'latitude': '40.71843', 'longitude': '-74.000534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CANAL ST,LAFAYETTE ST,1,0,0,0,0,0,1,0,Unspecified,,4877723,Sedan,
2026-02-06T00:00:00.000,23:50,MANHATTAN,10002,40.71997,-73.9929,"{'latitude': '40.71997', 'longitude': '-73.9929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DELANCEY ST,CHRYSTIE ST,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,4877724,Pick-up Truck,Sedan
