nta2020,ntaname,n_tracts,area_km2,combined_idx_awm,ped_pctile_awm,crash_pctile_awm,res_pctile_awm,combined_ped_pctile_awm,combined_crash_leg_pctile_awm,dist_nearest_subway_m_awm,subway_access_pctile_awm,combined_idx_nta_pctile,ped_pctile_nta_pctile,crash_pctile_nta_pctile,res_pctile_nta_pctile,subway_access_pctile_nta_pctile,dist_subway_closer_nta_pctile
MN1001,Harlem (South),10,1.3402544966381873,48.559041480395244,40.34372275294964,64.63613290122419,49.54178407275158,40.34372275294964,59.15247402568037,10.644946815181095,68.950408332109,47.22222222222222,44.73684210526316,78.94736842105263,52.77777777777778,78.94736842105263,84.21052631578947
MN0803,Upper East Side-Yorkville,14,1.2676590061145585,47.39589967172264,44.88183891273485,43.606826944017904,77.02702872265286,44.88183891273485,44.60981700615387,210.6815423898844,28.241213280386688,44.44444444444444,57.89473684210527,44.73684210526316,97.22222222222221,15.789473684210526,26.31578947368421
MN0702,Upper West Side (Central),12,2.3607282583313483,46.402896655827874,42.98717869314861,28.111290286714194,62.906561748147105,42.98717869314861,45.64156888450374,50.85517416308066,54.995904996081066,41.66666666666667,50.0,31.57894736842105,75.0,57.89473684210527,55.26315789473685
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,14,1.9975029447774126,39.49513824215887,33.84926981215504,44.49896915157373,60.91513890667755,33.84926981215504,44.222908726698996,222.73028794022179,33.096860589903166,38.88888888888889,42.10526315789473,50.0,69.44444444444444,26.31578947368421,21.052631578947366
MN1201,Washington Heights (South),11,1.9535353679014613,39.00633804089834,27.688911920963076,65.7105920715444,66.87581058476687,27.688911920963076,54.089322555951654,37.64667659035198,59.15305722602594,36.11111111111111,34.21052631578947,81.57894736842105,80.55555555555556,65.78947368421053,68.42105263157895
MN0901,Morningside Heights,8,1.4792766327853537,38.076258517081044,31.36270214378512,21.79349455847975,67.45965177746763,31.36270214378512,43.154474155805744,47.19485244419403,62.94307326019117,33.33333333333333,36.84210526315789,21.052631578947366,86.11111111111111,71.05263157894737,63.1578947368421
MN0703,Upper West Side-Manhattan Valley,6,1.2263619248079451,37.561276097679496,33.784158043045295,16.8411289757784,71.89881383553401,33.784158043045295,35.943994852265725,31.11529576885272,62.45660527973096,30.555555555555557,39.473684210526315,15.789473684210526,94.44444444444444,68.42105263157895,73.68421052631578
MN0903,Hamilton Heights-Sugar Hill,7,1.4849236499094975,37.04315587060653,25.121315473430787,58.35649587567334,69.42487391082388,25.121315473430787,53.02931416366073,50.19627258507265,57.73162503258108,27.77777777777778,26.31578947368421,65.78947368421053,88.88888888888889,60.526315789473685,57.89473684210527
MN1202,Washington Heights (North),12,2.3013335197282156,35.365399103348345,24.445331467840703,27.483968033306905,66.68325177401012,24.445331467840703,48.9686348177134,28.809357890544465,68.21304205832283,25.0,23.684210526315788,28.947368421052634,77.77777777777779,76.31578947368422,76.31578947368422
MN1002,Harlem (North),15,2.210431277790041,34.19384643314924,24.050425641706312,48.16756460474164,67.44328176176136,24.050425641706312,45.92282663864868,49.908317607802374,58.65296130473341,22.22222222222222,21.052631578947366,55.26315789473685,83.33333333333334,63.1578947368421,60.526315789473685
MN0601,Stuyvesant Town-Peter Cooper Village,2,0.5179867643533698,33.57358455077307,27.68889383804914,17.344058858658872,97.62158262961488,27.68889383804914,35.336194800867524,108.07272604788686,44.34954312901734,19.444444444444446,31.57894736842105,18.421052631578945,100.0,34.21052631578947,47.368421052631575
MN0902,Manhattanville-West Harlem,5,0.9972959797668857,31.95186135685499,25.464393351311156,30.947450271267485,39.36559683090641,25.464393351311156,40.513495287036235,24.43284841905342,65.17282780618028,16.666666666666664,28.947368421052634,36.84210526315789,44.44444444444444,73.68421052631578,78.94736842105263
MN1203,Inwood,6,1.341239149348274,29.39063939820532,10.57055911439246,31.410334533693636,58.57972815330216,10.57055911439246,59.24345646857822,1.7099999058994455,72.23527437425341,13.88888888888889,18.421052631578945,39.473684210526315,63.888888888888886,86.8421052631579,92.10526315789474
MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,3,1.1142062614506432,12.56296917242237,7.283181981306967,4.183799906978445,1.3029315960912051,7.283181981306967,23.548387096774192,1061.9508148645307,5.173012587330855,11.11111111111111,13.157894736842104,5.263157894736842,2.7777777777777777,7.894736842105263,2.631578947368421
MN1291,Highbridge Park,1,0.7203193969470416,10.838709677419354,5.806451612903226,3.387096774193549,1.3029315960912053,5.806451612903226,23.548387096774192,36.87142179021552,49.03225806451613,8.333333333333332,10.526315789473683,2.631578947368421,8.333333333333332,42.10526315789473,71.05263157894737
MN1292,Inwood Hill Park,1,0.9297408975336103,9.161290322580644,3.225806451612903,7.096774193548387,1.3029315960912053,3.225806451612903,23.548387096774192,185.30380162647933,23.548387096774192,5.555555555555555,5.263157894736842,10.526315789473683,8.333333333333332,10.526315789473683,28.947368421052634
MN1191,Randall's Island,1,2.1801149815689853,8.741935483870966,2.5806451612903225,6.774193548387098,1.3029315960912053,2.5806451612903225,23.548387096774192,935.4259031019118,0.9677419354838709,2.7777777777777777,2.631578947368421,7.894736842105263,8.333333333333332,2.631578947368421,5.263157894736842
MN0661,United Nations,1,0.10138043963039636,,4.193548387096775,73.22580645161291,,4.193548387096775,92.58064516129032,561.7518577754742,4.838709677419355,,7.894736842105263,94.73684210526315,,5.263157894736842,7.894736842105263
MN6491,Central Park,1,3.5593392035121325,,7.741935483870968,10.32258064516129,,7.741935483870968,47.096774193548384,0.0,83.38709677419355,,15.789473684210526,13.157894736842104,,98.68421052631578,98.68421052631578
