geoid,ntaname,area_km2,ped_pctile,crash_pctile,res_pctile,combined_ped_pctile,combined_crash_leg_pctile,combined_idx_base,combined_idx,study_intersects,study_floor_threshold,combined_scope_in,ped_metric,ped_density,crash_n,crash_density,ped_ksi,ksi_rate,res_unit_share_pct,acs_hu_per_km2,dist_nearest_subway_m,subway_access_pctile,nearest_stop_name,nearest_complex_id,nearest_subway_ridership_sum,subway_nearest_ridership_pctile,transit_access_ridership_pctile,nw_exp_HME_AMN,nw_exp_HME_JOB,nw_exp_HME_MTA,nw_exp_HME_PRK,nw_exp_HME_SCH,nw_exp_predwkdyAM,nw_exp_predwkdyMD,nw_exp_predwkdyPM,nw_exp_predwkndAM,nw_exp_predwkndMD,nw_exp_predwkndPM,gi_z,gi_p_sim,gi_class
36061013203,Upper East Side-Lenox Hill-Roosevelt Island,0.053933277612235604,41.29032258064516,52.903225806451616,74.9185667752443,41.29032258064516,23.548387096774192,38.731952937631064,38.731952937631064,False,86.5571528751753,True,1323439.1535902044,24538452.17984604,3,55.62428490938595,0.0,0.0,96.57454262358894,51118.71783172569,404.5776777676838,10.32258064516129,72 St,477,15801204.0,75.32258064516128,10.0,8906025.80657936,8432073.6583335,564962.3755594164,7946043.228748615,13893810.670123067,1280653.233722021,1343710.2970749896,1399696.8977819372,777909.5915932889,2090107.63708016,1048557.2642888303,-0.9574394238116687,0.024,cold_spot
36061013400,Upper East Side-Lenox Hill-Roosevelt Island,0.18179087564051916,68.38709677419355,51.61290322580645,72.63843648208469,68.38709677419355,59.354838709677416,67.07463474880169,67.07463474880169,False,86.5571528751753,True,7840251.692173301,43127861.42070706,10,55.00826135946678,1.0,1.2754690942528819e-07,96.33140465345316,43979.10495689369,154.76315176541866,31.93548387096774,77 St,398,14115770.0,69.6774193548387,33.225806451612904,31093893.677861612,24997112.37743132,13789699.948472455,6521281.788653697,35039664.59975297,5868748.913512442,7482448.2835770175,8548973.217234075,2995704.9243689454,13143834.063764432,9001800.750582894,0.30308096186763356,0.339,not_significant
36061013800,Upper East Side-Yorkville,0.1820486888457758,61.935483870967744,90.96774193548387,73.61563517915309,61.935483870967744,79.6774193548387,68.98039307221885,68.98039307221885,False,86.5571528751753,True,6630713.625796928,36422748.59454878,23,126.33982780004892,2.0,3.016266138522928e-07,96.38205499276411,43757.524706747376,166.67814905396398,25.483870967741932,86 St,476,13162700.0,62.41935483870967,27.741935483870968,32594375.197019137,27395208.571164194,5958117.467548277,5399513.706687098,20184114.06713348,4427122.200549257,6697794.2517612735,6439828.814270163,3043859.014653799,11438872.678707743,7736804.794839329,0.49567132515829826,0.188,not_significant
36061014000,Upper East Side-Carnegie Hill,0.1789297912458988,79.03225806451613,28.70967741935484,38.11074918566775,79.03225806451613,23.548387096774192,63.033352088022006,63.033352088022006,False,86.5571528751753,True,10832727.961013114,60541779.46324188,6,33.53270552780307,0.0,0.0,91.95736434108527,25523.97769091277,2.914630593467861,54.83870967741935,77 St,398,14115770.0,69.6774193548387,71.29032258064515,20688728.473737225,20169646.694663122,21971421.03313674,13095800.365951397,10896214.369385889,8815056.970123762,11224286.227734221,13846253.431796353,4133226.2325094575,13551069.575849773,13426475.328065118,0.31711898227007984,0.295,not_significant
36061013603,Upper East Side-Yorkville,0.05381041702481404,41.935483870967744,91.93548387096774,79.47882736156352,41.935483870967744,23.548387096774192,39.1873425499232,39.1873425499232,False,86.5571528751753,True,1352461.6853043046,25133826.498327132,7,130.08633619717224,0.0,0.0,97.29523809523809,48410.70082766195,402.12378976020875,10.64516129032258,86 St,476,13162700.0,62.41935483870967,9.67741935483871,11112760.75419231,10373272.463023573,4516.6740895258445,3817249.3082630904,6594764.499149162,1134536.083633576,1361276.5401549267,1290656.8895287947,867714.4888219852,2112737.793586197,1347848.316100348,-0.6104980309138777,0.121,not_significant
36061013604,Upper East Side-Yorkville,0.07170758338130007,30.64516129032258,3.387096774193549,86.64495114006515,30.64516129032258,23.548387096774192,31.87967284028799,31.87967284028799,False,86.5571528751753,True,1507570.2656058434,21023860.999323376,0,0.0,0.0,0.0,97.91603745092117,37109.04585712111,285.9588006144412,15.806451612903224,86 St,476,13162700.0,62.41935483870967,15.483870967741936,10287229.22390812,9689101.252811303,6145.3891137940955,5114099.757452175,4243300.49612891,1298102.05046263,1791550.1055018227,1548518.3286922674,1092491.018109645,1846885.9881691905,1467874.1026995045,-1.095945478647342,0.009,cold_spot
36061014402,Upper East Side-Yorkville,0.1745591899379595,34.516129032258064,9.35483870967742,87.94788273615634,34.516129032258064,23.548387096774192,34.40308370044053,34.40308370044053,False,86.5571528751753,True,3749206.1074493607,21478136.49216564,1,5.728715860536546,0.0,0.0,98.06167400881057,25469.870715945483,232.7697164025517,20.0,86 St,476,13162700.0,62.41935483870967,20.32258064516129,12960438.89303323,13358974.88316509,342975.5614128368,28210323.232636027,16574099.481571162,3837648.0383252907,4559088.183182012,3953725.875987415,2947981.7328336053,3918725.435236177,3278067.379131662,-1.1454600355305127,0.005,cold_spot
36061014200,Upper East Side-Carnegie Hill,0.17908810503248387,64.51612903225806,23.870967741935484,32.57328990228013,64.51612903225806,23.548387096774192,53.520984081041966,53.520984081041966,False,86.5571528751753,True,6855314.24472367,38279003.75337725,5,27.919218862096262,0.0,0.0,90.41968162083937,16980.468911926946,156.20007115744693,29.03225806451613,77 St,398,14115770.0,69.6774193548387,32.25806451612903,9976852.969814038,10482684.513904076,2175471.023918786,17219165.991439927,11613487.692509783,4595309.095198001,8826242.15425818,7353860.432333272,2990471.902475173,10016503.694018574,7349498.190058819,0.3454530359478035,0.196,not_significant
36061002202,East Village,0.05610620869753867,27.419354838709676,99.03225806451613,61.23778501628665,27.419354838709676,23.548387096774192,29.656064258506156,29.656064258506156,False,86.5571528751753,True,1134743.8012763185,20224923.90091043,10,178.23339398868865,0.0,0.0,95.37934968625214,21441.477296839246,464.9352893735671,8.38709677419355,Delancey St-Essex St,625,16244151.0,77.41935483870968,8.38709677419355,5884957.258614716,5274999.298251637,727099.3262491396,3939977.451658096,3896247.8702189308,1026995.8085016436,1581504.9973561228,1248323.849924031,896563.3454593823,955614.6471299586,1099460.159286773,-0.43296582102159714,0.304,not_significant
36061003002,East Village,0.07814054229599057,64.19354838709678,60.64516129032258,54.72312703583062,64.19354838709678,82.25806451612904,71.1372445815969,71.1372445815969,False,86.5571528751753,True,2989105.196083641,38252936.41757863,5,63.98727028359198,1.0,3.345481673786668e-07,94.68037550290568,22792.265675015464,121.47213918722257,35.80645161290323,2 Av,232,9578485.0,49.83870967741936,36.12903225806451,7241719.967971687,6527582.54930216,4649658.386731678,4669660.197795022,5205948.096072103,2226924.8093693657,2566345.9355800743,3446533.624858926,1462910.6509687812,3873025.84170208,4358890.31402262,0.5772737456340056,0.157,not_significant
